dataset,model,k_reveal,n_users,recall,recall_std,recall_ci_lo,recall_ci_hi,ndcg,ndcg_std,ndcg_ci_lo,ndcg_ci_hi,mrr,mrr_std,mrr_ci_lo,mrr_ci_hi,hr,hr_std,hr_ci_lo,hr_ci_hi,precision,precision_std,precision_ci_lo,precision_ci_hi,intra_diversity,intra_diversity_std,intra_diversity_ci_lo,intra_diversity_ci_hi,auc,auc_std,auc_ci_lo,auc_ci_hi,novelty,novelty_std,novelty_ci_lo,novelty_ci_hi,avg_risk,avg_risk_std,avg_risk_ci_lo,avg_risk_ci_hi,head_recall,head_recall_std,head_recall_ci_lo,head_recall_ci_hi,tail_recall,tail_recall_std,tail_recall_ci_lo,tail_recall_ci_hi,coverage,coverage_std,coverage_ci_lo,coverage_ci_hi,coverage_relative,coverage_relative_std,coverage_relative_ci_lo,coverage_relative_ci_hi,gini,gini_std,gini_ci_lo,gini_ci_hi,personalisation,personalisation_std,personalisation_ci_lo,personalisation_ci_hi
MovieLens-1M,R(a),5,100,0.0452,0.0,0.0452,0.0452,0.2709,0.0,0.2709,0.2709,0.473,0.0,0.473,0.473,0.74,0.0,0.74,0.74,0.251,0.0,0.251,0.251,0.3875,0.0,0.3875,0.3875,0.6021,0.0,0.6021,0.6021,10.735,0.0,10.735,10.735,0.0382,0.0,0.0382,0.0382,0.0617,0.0,0.0617,0.0617,0.0034,0.0,0.0034,0.0034,0.0652,0.0,0.0652,0.0652,0.253,0.0,0.253,0.253,0.5475,0.0,0.5475,0.5475,0.9399,0.0,0.9399,0.9399
MovieLens-1M,SASRec,5,100,0.2091,0.0,0.2091,0.2091,0.6757,0.0,0.6757,0.6757,0.7973,0.0,0.7973,0.7973,1.0,0.0,1.0,1.0,0.674,0.0,0.674,0.674,0.4319,0.0,0.4319,0.4319,0.9766,0.0,0.9766,0.9766,10.2548,0.0,10.2548,10.2548,0.3694,0.0,0.3694,0.3694,0.2186,0.0,0.2186,0.2186,0.1754,0.0,0.1754,0.1754,0.1339,0.0,0.1339,0.1339,0.52,0.0,0.52,0.52,0.386,0.0,0.386,0.386,0.9832,0.0,0.9832,0.9832
MovieLens-1M,SND,5,100,0.0216,0.0,0.0216,0.0216,0.1082,0.0,0.1082,0.1082,0.2195,0.0,0.2195,0.2195,0.53,0.0,0.53,0.53,0.107,0.0,0.107,0.107,0.4188,0.0,0.4188,0.4188,0.5917,0.0,0.5917,0.5917,13.4305,0.0,13.4305,13.4305,0.4801,0.0,0.4801,0.4801,0.0177,0.0,0.0177,0.0177,0.032,0.0,0.032,0.032,0.2212,0.0,0.2212,0.2212,0.859,0.0,0.859,0.859,0.1239,0.0,0.1239,0.1239,0.9981,0.0,0.9981,0.9981
MovieLens-1M,SND+R(a),5,100,0.0455,0.0,0.0455,0.0455,0.261,0.0,0.261,0.261,0.4469,0.0,0.4469,0.4469,0.74,0.0,0.74,0.74,0.246,0.0,0.246,0.246,0.3903,0.0,0.3903,0.3903,0.6021,0.0,0.6021,0.6021,10.7796,0.0,10.7796,10.7796,0.0387,0.0,0.0387,0.0387,0.0608,0.0,0.0608,0.0608,0.0053,0.0,0.0053,0.0053,0.0688,0.0,0.0688,0.0688,0.267,0.0,0.267,0.267,0.5388,0.0,0.5388,0.5388,0.9446,0.0,0.9446,0.9446
SemanticScholar-bigger,ACS,5,93,0.356,0.0,0.356,0.356,0.3068,0.0,0.3068,0.3068,0.3804,0.0,0.3804,0.3804,0.6667,0.0,0.6667,0.6667,0.1355,0.0,0.1355,0.1355,0.3267,0.0,0.3267,0.3267,0.9571,0.0,0.9571,0.9571,17.4751,0.0,17.4751,17.4751,0.442,0.0,0.442,0.442,0.3637,0.0,0.3637,0.3637,0.3411,0.0,0.3411,0.3411,0.0053,0.0,0.0053,0.0053,0.9935,0.0,0.9935,0.9935,0.0064,0.0,0.0064,0.0064,1.0,0.0,1.0,1.0
SemanticScholar-bigger,ACS+R(a),5,93,0.1041,0.0,0.1041,0.1041,0.092,0.0,0.092,0.092,0.112,0.0,0.112,0.112,0.3118,0.0,0.3118,0.3118,0.0667,0.0,0.0667,0.0667,0.3891,0.0,0.3891,0.3891,0.9309,0.0,0.9309,0.9309,17.5723,0.0,17.5723,17.5723,0.0847,0.0,0.0847,0.0847,0.1162,0.0,0.1162,0.1162,0.0886,0.0,0.0886,0.0886,0.0052,0.0,0.0052,0.0052,0.971,0.0,0.971,0.971,0.0282,0.0,0.0282,0.0282,0.9998,0.0,0.9998,0.9998
SemanticScholar-bigger,ACS+SND,5,93,0.0988,0.0,0.0988,0.0988,0.0887,0.0,0.0887,0.0887,0.1141,0.0,0.1141,0.1141,0.3333,0.0,0.3333,0.3333,0.0645,0.0,0.0645,0.0645,0.4396,0.0,0.4396,0.4396,0.9388,0.0,0.9388,0.9388,17.6184,0.0,17.6184,17.6184,0.3635,0.0,0.3635,0.3635,0.1266,0.0,0.1266,0.1266,0.0906,0.0,0.0906,0.0906,0.0052,0.0,0.0052,0.0052,0.986,0.0,0.986,0.986,0.0138,0.0,0.0138,0.0138,0.9998,0.0,0.9998,0.9998
SemanticScholar-bigger,ACS+SND+R(a),5,93,0.0664,0.0,0.0664,0.0664,0.066,0.0,0.066,0.066,0.0844,0.0,0.0844,0.0844,0.2043,0.0,0.2043,0.2043,0.0505,0.0,0.0505,0.0505,0.426,0.0,0.426,0.426,0.924,0.0,0.924,0.924,17.662,0.0,17.662,17.662,0.0782,0.0,0.0782,0.0782,0.0812,0.0,0.0812,0.0812,0.0584,0.0,0.0584,0.0584,0.0052,0.0,0.0052,0.0052,0.971,0.0,0.971,0.971,0.0282,0.0,0.0282,0.0282,0.9998,0.0,0.9998,0.9998
SemanticScholar-bigger,LinUCB,5,93,0.0625,0.0,0.0625,0.0625,0.0507,0.0,0.0507,0.0507,0.0598,0.0,0.0598,0.0598,0.1935,0.0,0.1935,0.1935,0.0301,0.0,0.0301,0.0301,0.337,0.0,0.337,0.337,0.7426,0.0,0.7426,0.7426,17.669,0.0,17.669,17.669,0.4214,0.0,0.4214,0.4214,0.0653,0.0,0.0653,0.0653,0.0602,0.0,0.0602,0.0602,0.0052,0.0,0.0052,0.0052,0.9817,0.0,0.9817,0.9817,0.0179,0.0,0.0179,0.0179,0.9997,0.0,0.9997,0.9997
SemanticScholar-bigger,Popularity-Safe,5,93,0.0505,0.0,0.0505,0.0505,0.0618,0.0,0.0618,0.0618,0.0834,0.0,0.0834,0.0834,0.1398,0.0,0.1398,0.1398,0.0344,0.0,0.0344,0.0344,0.3562,0.0,0.3562,0.3562,0.6369,0.0,0.6369,0.6369,15.6421,0.0,15.6421,15.6421,0.4498,0.0,0.4498,0.4498,0.1307,0.0,0.1307,0.1307,0.0,0.0,0.0,0.0,0.0043,0.0,0.0043,0.0043,0.8172,0.0,0.8172,0.8172,0.1519,0.0,0.1519,0.1519,0.9974,0.0,0.9974,0.9974
SemanticScholar-bigger,R(a),5,93,0.025,0.0,0.025,0.025,0.0349,0.0,0.0349,0.0349,0.0668,0.0,0.0668,0.0668,0.1398,0.0,0.1398,0.1398,0.029,0.0,0.029,0.029,0.4349,0.0,0.4349,0.4349,0.9059,0.0,0.9059,0.9059,17.822,0.0,17.822,17.822,0.0286,0.0,0.0286,0.0286,0.0463,0.0,0.0463,0.0463,0.0252,0.0,0.0252,0.0252,0.0051,0.0,0.0051,0.0051,0.9548,0.0,0.9548,0.9548,0.0431,0.0,0.0431,0.0431,0.9995,0.0,0.9995,0.9995
SemanticScholar-bigger,SASRec,5,93,0.6989,0.0,0.6989,0.6989,0.4866,0.0,0.4866,0.4866,0.4691,0.0,0.4691,0.4691,0.9677,0.0,0.9677,0.9677,0.2161,0.0,0.2161,0.2161,0.4007,0.0,0.4007,0.4007,0.9914,0.0,0.9914,0.9914,17.5389,0.0,17.5389,17.5389,0.4922,0.0,0.4922,0.4922,0.592,0.0,0.592,0.592,0.653,0.0,0.653,0.653,0.0053,0.0,0.0053,0.0053,0.9978,0.0,0.9978,0.9978,0.0021,0.0,0.0021,0.0021,1.0,0.0,1.0,1.0
SemanticScholar-bigger,SND,5,93,0.01,0.0,0.01,0.01,0.0125,0.0,0.0125,0.0125,0.02,0.0,0.02,0.02,0.043,0.0,0.043,0.043,0.0097,0.0,0.0097,0.0097,0.5137,0.0,0.5137,0.5137,0.8643,0.0,0.8643,0.8643,17.9262,0.0,17.9262,17.9262,0.4035,0.0,0.4035,0.4035,0.0115,0.0,0.0115,0.0115,0.0114,0.0,0.0114,0.0114,0.0052,0.0,0.0052,0.0052,0.971,0.0,0.971,0.971,0.0282,0.0,0.0282,0.0282,0.9997,0.0,0.9997,0.9997
SemanticScholar-bigger,SND+R(a),5,93,0.0239,0.0,0.0239,0.0239,0.0237,0.0,0.0237,0.0237,0.043,0.0,0.043,0.043,0.129,0.0,0.129,0.129,0.0194,0.0,0.0194,0.0194,0.4645,0.0,0.4645,0.4645,0.897,0.0,0.897,0.897,17.8642,0.0,17.8642,17.8642,0.0441,0.0,0.0441,0.0441,0.0472,0.0,0.0472,0.0472,0.0223,0.0,0.0223,0.0223,0.0051,0.0,0.0051,0.0051,0.9624,0.0,0.9624,0.9624,0.0362,0.0,0.0362,0.0362,0.9995,0.0,0.9995,0.9995
